REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Virgin Islands,2015,22,X,0.508906,2,1,393
New York City,2015,22,X,1.3896,1330,83,95711
Alabama,2015,23,X,1.01034,42,13,4157
Alaska,2015,23,X,0,0,3,435
Arizona,2015,23,X,0.916517,184,51,20076
Arkansas,2015,23,X,0.55332,11,7,1988
California,2015,23,X,1.96065,576,100,29378
Colorado,2015,23,X,0.312717,9,5,2878
Connecticut,2015,23,X,0.740741,17,14,2295
Delaware,2015,23,X,0.068918,1,7,1451
District of Columbia,2015,23,X,7.70053,72,1,935
Florida,2015,23,X,X,X,X,X
Georgia,2015,23,X,0.775844,185,26,23845
Hawaii,2015,23,X,1.17139,19,15,1622
Idaho,2015,23,X,1.23457,16,3,1296
Illinois,2015,23,X,1.26708,521,79,41118
Indiana,2015,23,X,0.299103,12,27,4012
Iowa,2015,23,X,0,0,4,1134
Kansas,2015,23,X,0.43315,15,14,3463
Kentucky,2015,23,X,0.0241698,5,11,20687
Louisiana,2015,23,X,1.24946,463,60,37056
Maine,2015,23,X,0.863724,45,26,5210
Maryland,2015,23,X,1.80365,88,14,4879
Massachusetts,2015,23,X,0.869925,189,27,21726
Michigan,2015,23,X,0.157691,20,43,12683
Minnesota,2015,23,X,1.16138,48,15,4133
Mississippi,2015,23,X,1.46889,255,46,17360
Missouri,2015,23,X,0.0755572,2,16,2647
Montana,2015,23,X,0,0,4,537
Nebraska,2015,23,X,0.667111,10,10,1499
Nevada,2015,23,X,0.364282,39,21,10706
New Hampshire,2015,23,X,0.0828729,3,19,3620
New Jersey,2015,23,X,1.62835,102,20,6264
New Mexico,2015,23,X,0.977343,88,19,9004
New York,2015,23,X,1.2451,73,60,5863
North Carolina,2015,23,X,0.540918,31,23,5731
North Dakota,2015,23,X,0.100402,1,5,996
Ohio,2015,23,X,0.477816,42,28,8790
Oklahoma,2015,23,X,0.21097,3,12,1422
Oregon,2015,23,X,0.265135,6,6,2263
Pennsylvania,2015,23,X,1.12459,114,47,10137
Rhode Island,2015,23,X,0,0,19,4475
South Carolina,2015,23,X,0.21575,4,7,1854
South Dakota,2015,23,X,0.576959,31,23,5373
Tennessee,2015,23,X,0.0757193,6,58,7924
Texas,2015,23,X,1.7597,546,81,31028
Utah,2015,23,X,0.950943,170,41,17877
Vermont,2015,23,X,0.415512,3,3,722
Virginia,2015,23,X,1.20665,919,109,76161
Washington,2015,23,X,0.452196,14,30,3096
West Virginia,2015,23,X,0.459306,50,28,10886
Wisconsin,2015,23,X,0.313357,8,23,2553
Wyoming,2015,23,X,0.328623,10,17,3043
Puerto Rico,2015,23,X,2.958,150,7,5071
Virgin Islands,2015,23,X,1.15274,4,1,347
New York City,2015,23,X,1.43984,1460,83,101400
Alabama,2015,24,X,1.00705,40,12,3972
Alaska,2015,24,X,1.62095,13,4,802
Arizona,2015,24,X,0.804638,161,49,20009
Arkansas,2015,24,X,0.708144,14,7,1977
California,2015,24,X,1.86878,507,99,27130
Colorado,2015,24,X,0.228758,7,5,3060
Connecticut,2015,24,X,0.641975,13,11,2025
Delaware,2015,24,X,0,0,7,1525
District of Columbia,2015,24,X,6.80174,47,1,691
Florida,2015,24,X,X,X,X,X
Georgia,2015,24,X,0.548729,117,27,21322
Hawaii,2015,24,X,0.992282,18,16,1814
Idaho,2015,24,X,0.349162,5,3,1432
Illinois,2015,24,X,1.07415,435,77,40497
Indiana,2015,24,X,0.6492,28,25,4313
Iowa,2015,24,X,0,0,4,1019
Kansas,2015,24,X,0.391802,13,14,3318
Kentucky,2015,24,X,0.00977565,2,12,20459
Louisiana,2015,24,X,1.03637,434,74,41877
Maine,2015,24,X,0.571102,30,26,5253
Maryland,2015,24,X,1.7341,66,13,3806
Massachusetts,2015,24,X,0.695212,151,27,21720
Michigan,2015,24,X,0.132769,16,42,12051
Minnesota,2015,24,X,0.69025,32,16,4636
Mississippi,2015,24,X,1.47422,251,44,17026
Missouri,2015,24,X,0.190404,5,16,2626
Montana,2015,24,X,0.0600962,1,5,1664
Nebraska,2015,24,X,0.480513,9,11,1873
Nevada,2015,24,X,0.25413,26,21,10231
New Hampshire,2015,24,X,0.0589971,2,19,3390
New Jersey,2015,24,X,1.60348,107,21,6673
New Mexico,2015,24,X,1.1583,93,20,8029
New York,2015,24,X,0.441726,26,60,5886
North Carolina,2015,24,X,0.42604,25,24,5868
North Dakota,2015,24,X,0.18018,2,6,1110
Ohio,2015,24,X,0.365339,32,28,8759
Oklahoma,2015,24,X,0.47081,10,15,2124
Oregon,2015,24,X,0,0,6,1270
Pennsylvania,2015,24,X,0.904048,88,46,9734
Rhode Island,2015,24,X,0.0442674,2,20,4518
South Carolina,2015,24,X,0,0,8,2068
South Dakota,2015,24,X,0.376614,21,22,5576
Tennessee,2015,24,X,0.0673401,5,57,7425
Texas,2015,24,X,1.75866,513,82,29170
Utah,2015,24,X,1.00904,164,39,16253
Vermont,2015,24,X,0.157729,1,3,634
Virginia,2015,24,X,1.12833,851,105,75421
Washington,2015,24,X,0.458716,12,29,2616
West Virginia,2015,24,X,0.561848,63,29,11213
Wisconsin,2015,24,X,0.205592,5,24,2432
Wyoming,2015,24,X,0.152486,5,17,3279
Puerto Rico,2015,24,X,2.30431,131,7,5685
Virgin Islands,2015,24,X,1.0929,4,1,366
New York City,2015,24,X,1.19085,1187,80,99677
Alabama,2015,25,X,0.626204,26,12,4152
Alaska,2015,25,X,2.28509,21,4,919
Arizona,2015,25,X,0.6118,115,49,18797
Arkansas,2015,25,X,0.180668,2,6,1107
California,2015,25,X,1.65902,459,97,27667
Colorado,2015,25,X,0.352338,11,6,3122
Connecticut,2015,25,X,0.527937,12,11,2273
Delaware,2015,25,X,0,0,7,1429
District of Columbia,2015,25,X,7.2093,62,1,860
Florida,2015,25,X,X,X,X,X
Georgia,2015,25,X,0.624879,129,26,20644
Hawaii,2015,25,X,0.7922,13,15,1641
Idaho,2015,25,X,0.418118,6,3,1435
Illinois,2015,25,X,1.24446,548,78,44035
Indiana,2015,25,X,0.656685,25,25,3807
Iowa,2015,25,X,0,0,4,1008
Kansas,2015,25,X,0.625823,19,14,3036
Kentucky,2015,25,X,0.00485343,1,11,20604
Louisiana,2015,25,X,1.17461,491,71,41801
Maine,2015,25,X,0.737101,36,25,4884
Maryland,2015,25,X,2.1826,71,13,3253
Massachusetts,2015,25,X,0.739986,138,25,18649
Michigan,2015,25,X,0.111867,12,40,10727
Minnesota,2015,25,X,0.651042,30,14,4608
Mississippi,2015,25,X,1.62843,269,45,16519
Missouri,2015,25,X,0.406054,11,16,2709
Montana,2015,25,X,0,0,5,1629
Nebraska,2015,25,X,0.561224,11,11,1960
Nevada,2015,25,X,0.195991,22,20,11225
New Hampshire,2015,25,X,0.0300933,1,19,3323
New Jersey,2015,25,X,1.56856,93,21,5929
New Mexico,2015,25,X,1.05521,99,20,9382
New York,2015,25,X,0.823114,49,61,5953
North Carolina,2015,25,X,0.448693,23,23,5126
North Dakota,2015,25,X,0.0672948,1,6,1486
Ohio,2015,25,X,0.392504,31,25,7898
Oklahoma,2015,25,X,0.363471,8,15,2201
Oregon,2015,25,X,0.213828,3,6,1403
Pennsylvania,2015,25,X,0.912012,88,46,9649
Rhode Island,2015,25,X,0,0,19,4193
South Carolina,2015,25,X,0.257898,4,6,1551
South Dakota,2015,25,X,0.553097,30,22,5424
Tennessee,2015,25,X,0.17567,12,54,6831
Texas,2015,25,X,1.47285,450,84,30553
Utah,2015,25,X,1.16949,197,40,16845
Vermont,2015,25,X,0.174216,1,3,574
Virginia,2015,25,X,0.985268,733,113,74396
Washington,2015,25,X,0.378644,10,29,2641
West Virginia,2015,25,X,0.340301,35,26,10285
Wisconsin,2015,25,X,0.590784,15,25,2539
Wyoming,2015,25,X,0.110254,3,15,2721
Puerto Rico,2015,25,X,3.4149,127,6,3719
Virgin Islands,2015,25,X,0.293255,1,1,341
New York City,2015,25,X,1.35141,1305,82,96566
Alabama,2015,26,X,0.619933,13,12,2097
Alaska,2015,26,X,1.68539,15,4,890
Arizona,2015,26,X,0.735794,119,49,16173
Arkansas,2015,26,X,0.111235,1,6,899
California,2015,26,X,1.64078,393,97,23952
Colorado,2015,26,X,0.248679,8,5,3217
Connecticut,2015,26,X,0.718209,17,16,2367
Delaware,2015,26,X,0,0,7,1289
District of Columbia,2015,26,X,7.3913,51,1,690
Florida,2015,26,X,X,X,X,X
Georgia,2015,26,X,0.674737,136,27,20156
Hawaii,2015,26,X,1.45128,21,15,1447
Idaho,2015,26,X,0.363901,5,3,1374
Illinois,2015,26,X,1.11324,448,72,40243
Indiana,2015,26,X,0.679785,19,24,2795
Iowa,2015,26,X,0,0,4,868
Kansas,2015,26,X,0.266756,8,14,2999
Kentucky,2015,26,X,0.00555833,1,11,17991
Louisiana,2015,26,X,1.10747,433,70,39098
Maine,2015,26,X,0.570687,22,20,3855
Maryland,2015,26,X,1.47186,68,16,4620
Massachusetts,2015,26,X,0.810289,126,25,15550
Michigan,2015,26,X,0.133662,13,37,9726
Minnesota,2015,26,X,0.840564,31,12,3688
Mississippi,2015,26,X,1.43311,221,42,15421
Missouri,2015,26,X,0.442478,10,16,2260
Montana,2015,26,X,0,0,5,1309
Nebraska,2015,26,X,0.373134,6,11,1608
Nevada,2015,26,X,0.179033,18,19,10054
New Hampshire,2015,26,X,0.036483,1,17,2741
New Jersey,2015,26,X,1.21354,62,21,5109
New Mexico,2015,26,X,0.849467,43,14,5062
New York,2015,26,X,1.23305,60,60,4866
North Carolina,2015,26,X,0.499405,21,22,4205
North Dakota,2015,26,X,0,0,7,1349
Ohio,2015,26,X,0.317125,21,26,6622
Oklahoma,2015,26,X,0.562852,6,12,1066
Oregon,2015,26,X,0.0856164,1,6,1168
Pennsylvania,2015,26,X,1.00606,88,45,8747
Rhode Island,2015,26,X,0.127291,5,20,3928
South Carolina,2015,26,X,0.0877963,1,6,1139
South Dakota,2015,26,X,0.977836,45,22,4602
Tennessee,2015,26,X,0.149522,10,59,6688
Texas,2015,26,X,1.58033,414,83,26197
Utah,2015,26,X,0.797987,130,41,16291
Vermont,2015,26,X,0.37594,2,3,532
Virginia,2015,26,X,0.993886,725,106,72946
Washington,2015,26,X,0.451581,9,29,1993
West Virginia,2015,26,X,0.4726,42,28,8887
Wisconsin,2015,26,X,0.143678,3,24,2088
Wyoming,2015,26,X,0.0424268,1,15,2357
Puerto Rico,2015,26,X,3.58501,132,6,3682
Virgin Islands,2015,26,X,0.78534,3,1,382
New York City,2015,26,X,1.26974,1146,80,90255
Alabama,2015,27,X,0.685871,30,12,4374
Alaska,2015,27,X,1.58151,13,4,822
Arizona,2015,27,X,0.626526,118,50,18834
Arkansas,2015,27,X,0.712468,14,7,1965
California,2015,27,X,1.4891,420,96,28205
Colorado,2015,27,X,0.298013,9,5,3020
Connecticut,2015,27,X,0.560673,14,16,2497
Delaware,2015,27,X,0,0,7,1509
District of Columbia,2015,27,X,5.58539,52,1,931
Florida,2015,27,X,X,X,X,X
Georgia,2015,27,X,0.602795,132,26,21898
Hawaii,2015,27,X,1.00711,17,15,1688
Idaho,2015,27,X,1.15646,17,3,1470
Illinois,2015,27,X,1.04587,435,69,41592
Indiana,2015,27,X,0.681886,23,23,3373
Iowa,2015,27,X,0,0,4,951
Kansas,2015,27,X,0.237883,8,14,3363
Kentucky,2015,27,X,0.00511274,1,12,19559
Louisiana,2015,27,X,1.01681,409,68,40224
Maine,2015,27,X,0.752644,37,25,4916
Maryland,2015,27,X,2.14266,79,21,3687
Massachusetts,2015,27,X,0.639635,115,25,17979
Michigan,2015,27,X,0.336178,39,36,11601
Minnesota,2015,27,X,0.710702,34,12,4784
Mississippi,2015,27,X,1.43233,218,44,15220
Missouri,2015,27,X,0.0371609,1,17,2691
Montana,2015,27,X,0.109951,2,5,1819
Nebraska,2015,27,X,0.366838,5,9,1363
Nevada,2015,27,X,0.134156,15,20,11181
New Hampshire,2015,27,X,0,0,16,2559
New Jersey,2015,27,X,1.50991,83,20,5497
New Mexico,2015,27,X,0.879336,72,18,8188
New York,2015,27,X,1.31579,71,60,5396
North Carolina,2015,27,X,0.510308,25,21,4899
North Dakota,2015,27,X,0,0,3,771
Ohio,2015,27,X,0.318823,26,25,8155
Oklahoma,2015,27,X,0.488998,10,15,2045
Oregon,2015,27,X,0.069979,1,6,1429
Pennsylvania,2015,27,X,1.17045,112,44,9569
Rhode Island,2015,27,X,0.0424809,2,20,4708
South Carolina,2015,27,X,0.105652,2,8,1893
South Dakota,2015,27,X,0.578574,31,22,5358
Tennessee,2015,27,X,0.0541638,4,56,7385
Texas,2015,27,X,1.26985,383,85,30161
Utah,2015,27,X,0.71203,124,41,17415
Vermont,2015,27,X,0,0,3,630
Virginia,2015,27,X,0.941369,701,111,74466
Washington,2015,27,X,0.525164,12,30,2285
West Virginia,2015,27,X,0.283311,32,29,11295
Wisconsin,2015,27,X,0.330033,8,23,2424
Wyoming,2015,27,X,0.0402253,1,15,2486
Puerto Rico,2015,27,X,1.91724,101,8,5268
Virgin Islands,2015,27,X,1.10803,4,1,361
New York City,2015,27,X,1.02627,1000,80,97440
Alabama,2015,28,X,1.06977,46,13,4300
Alaska,2015,28,X,0.661626,7,5,1058
Arizona,2015,28,X,0.647333,125,51,19310
Arkansas,2015,28,X,0.326797,7,7,2142
California,2015,28,X,1.27019,339,94,26689
Colorado,2015,28,X,0.265781,8,6,3010
Connecticut,2015,28,X,0.390071,11,14,2820
Delaware,2015,28,X,0,0,7,1576
District of Columbia,2015,28,X,5.64617,45,1,797
Florida,2015,28,X,X,X,X,X
Georgia,2015,28,X,0.51291,117,27,22811
Hawaii,2015,28,X,0.931099,15,15,1611
Idaho,2015,28,X,0.510949,7,3,1370
Illinois,2015,28,X,1.02889,437,68,42473
Indiana,2015,28,X,0.245834,9,24,3661
Iowa,2015,28,X,0.116009,1,4,862
Kansas,2015,28,X,0.121433,4,14,3294
Kentucky,2015,28,X,0.0149873,3,12,20017
Louisiana,2015,28,X,1.14152,468,71,40998
Maine,2015,28,X,0.803213,38,25,4731
Maryland,2015,28,X,1.88399,76,21,4034
Massachusetts,2015,28,X,0.578848,107,24,18485
Michigan,2015,28,X,0.243902,32,40,13120
Minnesota,2015,28,X,0.754636,35,12,4638
Mississippi,2015,28,X,1.23758,213,43,17211
Missouri,2015,28,X,0.260805,7,17,2684
Montana,2015,28,X,0,0,5,1747
Nebraska,2015,28,X,0.933908,13,10,1392
Nevada,2015,28,X,0.210681,23,19,10917
New Hampshire,2015,28,X,0.0343171,1,16,2914
New Jersey,2015,28,X,1.36033,88,20,6469
New Mexico,2015,28,X,1.20734,52,12,4307
New York,2015,28,X,1.17908,69,60,5852
North Carolina,2015,28,X,0.672372,22,18,3272
North Dakota,2015,28,X,0,0,3,776
Ohio,2015,28,X,0.324971,25,27,7693
Oklahoma,2015,28,X,0.47138,7,12,1485
Oregon,2015,28,X,0.210084,3,6,1428
Pennsylvania,2015,28,X,0.91977,83,43,9024
Rhode Island,2015,28,X,0.0218245,1,20,4582
South Carolina,2015,28,X,0.0524934,1,8,1905
South Dakota,2015,28,X,0.653717,35,22,5354
Tennessee,2015,28,X,0.152102,11,57,7232
Texas,2015,28,X,1.29911,371,80,28558
Utah,2015,28,X,0.658234,115,42,17471
Vermont,2015,28,X,0,0,3,665
Virginia,2015,28,X,0.832394,628,104,75445
Washington,2015,28,X,0.463177,10,30,2159
West Virginia,2015,28,X,0.354372,37,28,10441
Wisconsin,2015,28,X,0.248447,6,24,2415
Wyoming,2015,28,X,0.0733138,2,14,2728
Puerto Rico,2015,28,X,1.79592,88,7,4900
Virgin Islands,2015,28,X,0.595238,2,1,336
New York City,2015,28,X,1.00334,963,80,95979
Alabama,2015,29,X,0.613358,27,14,4402
Alaska,2015,29,X,0.661626,7,5,1058
Arizona,2015,29,X,0.599811,114,49,19006
Arkansas,2015,29,X,0.309917,3,6,968
California,2015,29,X,1.07618,293,96,27226
Colorado,2015,29,X,0.426789,13,6,3046
Connecticut,2015,29,X,0.268817,7,12,2604
Delaware,2015,29,X,0,0,7,1584
District of Columbia,2015,29,X,5.39906,46,1,852
Florida,2015,29,X,X,X,X,X
Georgia,2015,29,X,0.489649,114,27,23282
Hawaii,2015,29,X,1.30516,21,14,1609
Idaho,2015,29,X,0.680272,9,3,1323
Illinois,2015,29,X,1.0008,415,65,41467
Indiana,2015,29,X,0.332396,13,23,3911
Iowa,2015,29,X,0,0,4,1013
Kansas,2015,29,X,0.178042,6,14,3370
Kentucky,2015,29,X,0.005003,1,13,19988
Louisiana,2015,29,X,1.01653,361,68,35513
Maine,2015,29,X,0.468241,23,25,4912
Maryland,2015,29,X,1.54211,78,22,5058
Massachusetts,2015,29,X,0.618067,112,24,18121
Michigan,2015,29,X,0.0953743,10,33,10485
Minnesota,2015,29,X,0.785469,32,11,4074
Mississippi,2015,29,X,1.3491,219,45,16233
Missouri,2015,29,X,0.196309,5,16,2547
Montana,2015,29,X,0.0550055,1,5,1818
Nebraska,2015,29,X,0.785546,10,10,1273
Nevada,2015,29,X,0.111535,12,18,10759
New Hampshire,2015,29,X,0,0,16,2970
New Jersey,2015,29,X,1.16115,74,21,6373
New Mexico,2015,29,X,1.14028,86,18,7542
New York,2015,29,X,0.900576,50,58,5552
North Carolina,2015,29,X,0.63857,20,16,3132
North Dakota,2015,29,X,0,0,3,782
Ohio,2015,29,X,0.383359,27,26,7043
Oklahoma,2015,29,X,0.399401,8,15,2003
Oregon,2015,29,X,0,0,6,1425
Pennsylvania,2015,29,X,0.885329,84,44,9488
Rhode Island,2015,29,X,0.0424448,2,20,4712
South Carolina,2015,29,X,0.151899,3,8,1975
South Dakota,2015,29,X,0.576488,28,22,4857
Tennessee,2015,29,X,0.0944797,7,57,7409
Texas,2015,29,X,1.28852,388,84,30112
Utah,2015,29,X,0.988692,167,42,16891
Vermont,2015,29,X,0.561272,6,5,1069
Virginia,2015,29,X,0.779566,593,111,76068
Washington,2015,29,X,0,0,14,479
West Virginia,2015,29,X,0.320241,34,28,10617
Wisconsin,2015,29,X,0.258956,6,22,2317
Wyoming,2015,29,X,0.349786,9,14,2573
Puerto Rico,2015,29,X,1.8949,75,6,3958
Virgin Islands,2015,29,X,0.550964,2,1,363
New York City,2015,29,X,0.983771,942,83,95754
Alabama,2015,30,X,0.596125,28,13,4697
Alaska,2015,30,X,0.681597,7,5,1027
Arizona,2015,30,X,0.684717,131,49,19132
Arkansas,2015,30,X,0.195886,2,6,1021
California,2015,30,X,1.07527,282,90,26226
Colorado,2015,30,X,0.462368,18,4,3893
Connecticut,2015,30,X,0.0888494,2,11,2251
Delaware,2015,30,X,0,0,7,1612
District of Columbia,2015,30,X,6.2422,50,1,801
Florida,2015,30,X,X,X,X,X
Georgia,2015,30,X,0.504657,136,26,26949
Hawaii,2015,30,X,0.624025,8,13,1282
Idaho,2015,30,X,0.336984,4,3,1187
Illinois,2015,30,X,1.06443,432,62,40585
Indiana,2015,30,X,0.28616,11,24,3844
Iowa,2015,30,X,0,0,4,1005
Kansas,2015,30,X,0.319211,11,14,3446
Kentucky,2015,30,X,0.0149536,3,10,20062
Louisiana,2015,30,X,1.10476,398,55,36026
Maine,2015,30,X,0.294317,13,19,4417
Maryland,2015,30,X,1.67691,60,20,3578
Massachusetts,2015,30,X,0.60925,110,24,18055
Michigan,2015,30,X,0.332478,35,33,10527
Minnesota,2015,30,X,0.566572,26,12,4589
Mississippi,2015,30,X,1.33222,207,44,15538
Missouri,2015,30,X,0.0806777,2,17,2479
Montana,2015,30,X,0.157563,3,5,1904
Nebraska,2015,30,X,0.832702,11,9,1321
Nevada,2015,30,X,0.247219,24,17,9708
New Hampshire,2015,30,X,0,0,17,2983
New Jersey,2015,30,X,1.15761,78,21,6738
New Mexico,2015,30,X,0.820616,57,16,6946
New York,2015,30,X,1.36986,71,60,5183
North Carolina,2015,30,X,0.460375,14,16,3041
North Dakota,2015,30,X,0,0,2,600
Ohio,2015,30,X,0.546875,42,27,7680
Oklahoma,2015,30,X,0.520833,9,15,1728
Oregon,2015,30,X,0.0672043,1,6,1488
Pennsylvania,2015,30,X,0.709442,68,45,9585
Rhode Island,2015,30,X,0,0,20,4220
South Carolina,2015,30,X,0.0668449,1,7,1496
South Dakota,2015,30,X,0.520729,26,22,4993
Tennessee,2015,30,X,0.102354,8,58,7816
Texas,2015,30,X,1.0823,265,66,24485
Utah,2015,30,X,0.733964,138,42,18802
Vermont,2015,30,X,0.686106,8,5,1166
Virginia,2015,30,X,0.815613,555,105,68047
Washington,2015,30,X,0.333704,6,30,1798
West Virginia,2015,30,X,0.318701,31,27,9727
Wisconsin,2015,30,X,0.349192,8,23,2291
Wyoming,2015,30,X,0.270688,7,13,2586
Puerto Rico,2015,30,X,2.52596,90,6,3563
Virgin Islands,2015,30,X,0.552486,2,1,362
New York City,2015,30,X,1.10546,1069,83,96702
Alabama,2015,31,X,0.775031,37,13,4774
Alaska,2015,31,X,0.432432,4,5,925
Arizona,2015,31,X,0.627193,118,49,18814
Arkansas,2015,31,X,0.168634,2,6,1186
California,2015,31,X,1.06028,283,93,26691
Colorado,2015,31,X,0.415251,11,5,2649
Connecticut,2015,31,X,0.0515996,1,9,1938
Delaware,2015,31,X,0,0,7,1503
District of Columbia,2015,31,0,0,0,0,0
Florida,2015,31,X,X,X,X,X
Georgia,2015,31,X,0.440072,119,27,27041
Hawaii,2015,31,X,1.35811,19,13,1399
Idaho,2015,31,X,1.40969,16,3,1135
Illinois,2015,31,X,1.11983,438,61,39113
Indiana,2015,31,X,0.434227,17,24,3915
Iowa,2015,31,X,0,0,3,738
Kansas,2015,31,X,0.170989,6,14,3509
Kentucky,2015,31,X,0,0,12,19792
Louisiana,2015,31,X,0.957739,349,55,36440
Maine,2015,31,X,0.635637,31,25,4877
Maryland,2015,31,X,1.19101,53,12,4450
Massachusetts,2015,31,X,0.575323,103,24,17903
Michigan,2015,31,X,0.240964,29,35,12035
Minnesota,2015,31,X,1.00865,42,11,4164
Mississippi,2015,31,X,1.13267,181,45,15980
Missouri,2015,31,X,0.249584,6,17,2404
Montana,2015,31,X,0.212766,4,5,1880
Nebraska,2015,31,X,1.01664,11,9,1082
Nevada,2015,31,X,0.134048,13,18,9698
New Hampshire,2015,31,X,0.0345543,1,17,2894
New Jersey,2015,31,X,1.50245,95,19,6323
New Mexico,2015,31,X,0.814359,49,14,6017
New York,2015,31,X,1.50362,81,60,5387
North Carolina,2015,31,X,0.591522,18,16,3043
North Dakota,2015,31,X,0,0,3,832
Ohio,2015,31,X,0.361847,25,25,6909
Oklahoma,2015,31,X,0,0,14,1459
Oregon,2015,31,X,0,0,5,1270
Pennsylvania,2015,31,X,0.92326,93,46,10073
Rhode Island,2015,31,X,0.0642123,3,20,4672
South Carolina,2015,31,X,0.237812,2,6,841
South Dakota,2015,31,X,0.525465,26,22,4948
Tennessee,2015,31,X,0.128123,10,56,7805
Texas,2015,31,X,1.12071,353,83,31498
Utah,2015,31,X,0.882541,152,42,17223
Vermont,2015,31,X,0.44603,5,5,1121
Virginia,2015,31,X,0.80996,594,106,73337
Washington,2015,31,X,0.156128,4,30,2562
West Virginia,2015,31,X,0.356224,36,27,10106
Wisconsin,2015,31,X,0.200642,5,23,2492
Wyoming,2015,31,X,0.190549,5,13,2624
Puerto Rico,2015,31,X,3.0642,126,7,4112
Virgin Islands,2015,31,X,0.314465,1,1,318
New York City,2015,31,X,1.16756,1148,82,98325
Alabama,2015,32,X,1.07184,47,12,4385
Alaska,2015,32,X,0.830737,8,5,963
Arizona,2015,32,X,0.60065,109,42,18147
Arkansas,2015,32,X,0.114811,1,5,871
California,2015,32,X,1.22321,351,103,28695
Colorado,2015,32,X,0.310752,10,6,3218
Connecticut,2015,32,X,0.149626,3,10,2005
Delaware,2015,32,X,0,0,7,1314
District of Columbia,2015,32,0,0,0,0,0
Florida,2015,32,X,X,X,X,X
Georgia,2015,32,X,0.682938,183,26,26796
Hawaii,2015,32,X,0.573248,9,13,1570
Idaho,2015,32,X,0.262238,3,3,1144
Illinois,2015,32,X,0.987891,412,64,41705
Indiana,2015,32,X,0.599486,21,23,3503
Iowa,2015,32,X,0,0,3,527
Kansas,2015,32,X,0.104959,4,14,3811
Kentucky,2015,32,X,0,0,9,20006
Louisiana,2015,32,X,0.924169,341,56,36898
Maine,2015,32,X,0.575349,26,24,4519
Maryland,2015,32,X,2.60994,73,10,2797
Massachusetts,2015,32,X,0.582876,103,24,17671
Michigan,2015,32,X,0.284437,35,35,12305
Minnesota,2015,32,X,0.99734,45,12,4512
Mississippi,2015,32,X,1.31951,224,44,16976
Missouri,2015,32,X,0.0784314,2,16,2550
Montana,2015,32,X,0,0,5,1768
Nebraska,2015,32,X,0.44843,6,9,1338
Nevada,2015,32,X,0.28028,28,18,9990
New Hampshire,2015,32,X,0,0,17,3060
New Jersey,2015,32,X,1.19066,76,19,6383
New Mexico,2015,32,X,0.64302,31,12,4821
New York,2015,32,X,1.48782,80,58,5377
North Carolina,2015,32,X,1.06935,33,15,3086
North Dakota,2015,32,X,0,0,3,754
Ohio,2015,32,X,0.426157,29,22,6805
Oklahoma,2015,32,X,0.493827,10,14,2025
Oregon,2015,32,X,0,0,4,1285
Pennsylvania,2015,32,X,0.735294,65,41,8840
Rhode Island,2015,32,X,0.0572246,2,19,3495
South Carolina,2015,32,X,0.0706714,1,7,1415
South Dakota,2015,32,X,0.568855,24,20,4219
Tennessee,2015,32,X,0.193963,16,57,8249
Texas,2015,32,X,1.14597,355,80,30978
Utah,2015,32,X,0.846796,141,41,16651
Vermont,2015,32,X,0.57971,6,5,1035
Virginia,2015,32,X,0.814073,609,110,74809
Washington,2015,32,X,0.186706,5,30,2678
West Virginia,2015,32,X,0.273895,29,25,10588
Wisconsin,2015,32,X,0.223914,5,21,2233
Wyoming,2015,32,X,0.11583,3,12,2590
Puerto Rico,2015,32,X,2.42473,120,7,4949
Virgin Islands,2015,32,X,0.925926,3,1,324
New York City,2015,32,X,1.0448,1015,79,97148
Alabama,2015,33,X,1.23869,63,13,5086
Alaska,2015,33,X,0.536673,6,6,1118
Arizona,2015,33,X,0.919573,193,49,20988
Arkansas,2015,33,X,0.0792393,1,6,1262
California,2015,33,X,1.15595,350,98,30278
Colorado,2015,33,X,0.424757,14,5,3296
Connecticut,2015,33,X,0.0455581,1,8,2195
Delaware,2015,33,X,0,0,7,1584
District of Columbia,2015,33,0,0,0,0,0
Florida,2015,33,X,X,X,X,X
Georgia,2015,33,X,0.800827,248,28,30968
Hawaii,2015,33,X,0.676133,10,13,1479
Idaho,2015,33,X,0.727651,7,2,962
Illinois,2015,33,X,0.901366,384,61,42602
Indiana,2015,33,X,0.660418,31,21,4694
Iowa,2015,33,X,0,0,4,2160
Kansas,2015,33,X,0.311284,12,14,3855
Kentucky,2015,33,X,0.0047776,1,9,20931
Louisiana,2015,33,X,0.954499,382,68,40021
Maine,2015,33,X,0.605807,29,24,4787
Maryland,2015,33,X,1.41663,61,12,4306
Massachusetts,2015,33,X,0.563607,98,22,17388
Michigan,2015,33,X,0.268924,34,35,12643
Minnesota,2015,33,X,0.831328,38,12,4571
Mississippi,2015,33,X,1.60092,293,44,18302
Missouri,2015,33,X,0.260501,8,16,3071
Montana,2015,33,X,0,0,4,1372
Nebraska,2015,33,X,0.783699,10,9,1276
Nevada,2015,33,X,0.762777,30,14,3933
New Hampshire,2015,33,X,0.0859845,2,15,2326
New Jersey,2015,33,X,1.17442,74,18,6301
New Mexico,2015,33,X,1.16097,74,15,6374
New York,2015,33,X,0.839793,52,57,6192
North Carolina,2015,33,X,0.503712,19,15,3772
North Dakota,2015,33,X,0,0,3,784
